,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Acidobacteria;Acidobacteria_Gp1;CandidatusKoribacter,60,22,46,17,53,60,4,1,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,17,6,8,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp1;Edaphobacter,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,53,7,26,25,21,51,60,8,7,7,3,17,3,21,5,4,14,6,6,60,54,28,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp1;Gp1,49,22,46,17,47,56,4,0,4,8,53,32,11,22,52,12,31,45,7,26,25,20,51,52,8,7,7,2,17,3,19,5,5,12,6,0,54,54,27,60,17
Bacteria;Acidobacteria;Acidobacteria_Gp1;Granulicella,60,22,46,17,53,60,4,1,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,4,4,4,3,13,3,21,3,5,9,5,1,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp1;Telmatobacter,60,22,46,17,53,60,4,2,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,12,6,5,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp1;Terriglobus,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,17,6,8,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp1;__,36,21,43,17,26,20,4,0,4,2,51,30,11,20,21,11,28,40,7,22,21,12,31,34,1,1,0,1,6,1,5,1,2,3,1,0,30,40,10,56,22
Bacteria;Acidobacteria;Acidobacteria_Gp1;unclassified_Acidobacteria_Gp1,53,22,44,16,48,55,4,3,4,4,53,20,11,21,55,12,30,44,7,25,25,19,50,56,8,7,6,0,16,2,18,5,5,19,5,9,51,51,28,56,22
Bacteria;Acidobacteria;Acidobacteria_Gp21;Gp21,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp22;Gp22,52,22,46,15,51,49,4,3,4,8,53,31,11,22,52,12,29,54,7,25,24,21,50,53,8,7,7,2,17,3,21,5,5,19,6,9,49,50,26,59,35
Bacteria;Acidobacteria;Acidobacteria_Gp23;Gp23,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,30,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp23;Thermoanaerobaculum,59,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,6,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp25;Gp25,59,22,46,17,53,60,4,3,4,8,52,32,11,22,57,11,30,54,7,26,25,21,50,60,8,7,6,3,17,3,21,5,4,18,6,9,60,54,29,60,35
Bacteria;Acidobacteria;Acidobacteria_Gp2;Gp2,59,22,43,17,47,58,4,0,4,6,53,32,11,20,53,12,31,54,7,26,25,21,46,47,7,5,6,3,14,2,18,4,5,8,3,0,54,54,29,59,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;Bryobacter,60,22,46,17,53,60,4,3,4,8,38,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;CandidatusSolibacter,60,22,46,17,53,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,7,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3,60,22,46,17,53,60,4,3,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,5,4,6,3,14,2,21,4,5,9,4,3,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;Paludibaculum,60,22,46,17,53,60,4,2,4,8,29,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,4,5,19,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp3;__,60,22,41,17,53,60,4,0,3,8,28,32,11,22,57,12,31,54,7,26,25,21,54,60,5,4,4,3,13,3,21,3,5,4,6,1,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;Aridibacter,60,22,46,17,52,60,4,3,3,8,18,32,11,22,57,12,31,54,7,26,25,21,54,60,6,5,5,3,16,3,21,3,5,16,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;Blastocatella,54,22,46,16,34,52,4,2,4,8,51,31,11,22,38,12,31,54,7,22,25,13,51,60,8,7,7,0,16,3,12,3,2,16,4,8,40,49,21,59,32
Bacteria;Acidobacteria;Acidobacteria_Gp4;Gp4,60,22,44,17,53,60,4,3,2,8,43,32,11,22,57,12,31,54,7,26,25,21,54,60,6,6,4,3,14,3,21,5,5,13,6,9,60,54,29,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;Pyrinomonas,60,22,46,16,46,56,4,3,4,8,53,32,11,22,54,12,31,54,7,26,25,19,54,59,8,7,7,1,17,3,20,5,3,19,5,9,60,53,28,60,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;__,50,21,45,15,29,37,4,2,3,8,43,29,11,19,40,12,28,52,7,23,25,16,54,56,8,7,5,0,16,3,17,3,1,18,2,9,43,36,20,55,36
Bacteria;Acidobacteria;Acidobacteria_Gp4;unclassified_Acidobacteria_Gp4,36,21,46,17,36,38,4,3,4,8,53,32,11,16,39,12,25,48,6,23,25,17,54,49,8,7,5,0,16,3,16,3,1,18,5,9,36,47,21,57,34
Bacteria;Acidobacteria;Acidobacteria_Gp5;Gp5,52,22,46,16,48,39,4,2,4,8,52,32,8,22,46,5,29,53,7,25,18,20,39,48,8,7,5,1,15,2,21,5,5,13,5,8,49,51,24,57,35
Bacteria;Acidobacteria;Acidobacteria_Gp6;Gp6,20,22,43,13,23,16,4,2,1,2,46,23,11,19,16,12,20,42,3,14,25,11,51,32,8,7,6,0,16,2,11,4,1,4,6,4,21,37,10,44,18
Bacteria;Acidobacteria;Acidobacteria_Gp7;Gp7,49,22,46,16,50,44,3,3,3,8,53,32,7,21,48,8,28,53,7,23,20,20,43,53,6,7,6,2,15,3,21,4,4,15,6,8,47,51,25,58,31
Bacteria;Acidobacteria;Acidobacteria_Gp9;Gp9,60,22,46,17,53,59,4,3,4,8,53,32,11,22,56,12,31,54,7,25,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,28,60,36
Bacteria;Acidobacteria;Holophagae;Holophagales,27,21,45,16,49,57,4,3,4,5,36,27,8,19,56,9,30,50,5,23,22,18,42,58,8,7,7,2,17,3,21,5,3,16,6,8,53,33,29,37,33
Bacteria;Acidobacteria;__;__,40,22,43,17,43,43,4,2,1,7,17,31,10,21,44,12,29,46,7,23,23,16,51,49,8,5,4,2,14,3,19,4,3,8,6,9,42,51,18,52,26
Bacteria;Acidobacteria;unclassified_Acidobacteria;,60,22,46,17,53,60,4,3,4,8,44,32,11,22,57,12,31,54,7,26,25,21,54,60,6,3,3,3,12,2,21,3,5,19,5,9,60,54,29,60,36
Bacteria;Actinobacteria;Actinobacteria;Acidimicrobidae,41,16,45,15,35,10,0,1,0,6,11,24,1,10,21,1,29,42,7,18,6,18,15,51,5,5,5,0,15,2,17,3,1,0,3,0,27,43,9,44,27
Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Coriobacteridae,44,21,44,13,52,57,3,3,3,7,47,28,11,21,54,11,7,45,7,18,23,21,48,58,8,6,7,3,17,3,21,4,5,16,6,8,33,44,28,33,27
Bacteria;Actinobacteria;Actinobacteria;Nitriliruptoridae,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,28,60,36
Bacteria;Actinobacteria;Actinobacteria;Rubrobacteridae,24,13,42,12,4,0,4,1,1,0,30,29,4,14,2,2,15,24,4,8,5,3,12,16,2,2,2,0,7,1,2,2,0,0,1,0,17,28,2,39,8
Bacteria;Actinobacteria;Actinobacteria;__,39,22,43,12,38,23,2,3,3,7,39,26,7,13,23,4,25,42,6,22,8,17,18,47,2,2,2,1,12,1,18,2,1,12,0,7,31,27,12,47,31
Bacteria;Actinobacteria;Actinobacteria;unclassified_Actinobacteria,60,22,45,17,53,57,4,3,4,8,53,32,11,22,54,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,28,59,36
Bacteria;Actinobacteria;Thermoleophilia;Thermoleophilales,60,22,46,17,52,49,4,3,2,8,53,32,10,22,53,11,31,54,7,26,25,21,52,59,8,7,6,3,17,3,21,4,5,19,6,9,57,51,24,60,36
Bacteria;Actinobacteria;__;__,42,14,45,14,30,5,2,2,3,5,53,27,3,13,14,3,24,46,5,18,7,16,16,34,4,4,5,0,14,2,16,3,5,16,4,7,34,41,7,52,32
Bacteria;Actinobacteria;unclassified_Actinobacteria;,58,22,46,17,49,32,2,3,4,8,53,32,10,22,43,12,31,51,7,26,24,20,47,58,8,7,6,1,17,3,19,4,2,18,6,8,52,48,20,57,34
Bacteria;Aquificae;Aquificae;Aquificales,59,21,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,5,7,5,3,13,1,21,4,5,19,4,9,60,54,29,60,36
Bacteria;Aquificae;Aquificae;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,36
Bacteria;Armatimonadetes;Armatimonadetes_gp2;,59,22,46,17,53,60,4,3,4,8,49,31,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,59,36
Bacteria;Armatimonadetes;Armatimonadetes_gp4;,58,22,46,17,51,52,4,3,3,8,52,31,11,22,52,12,31,53,7,26,24,19,53,60,8,7,6,2,17,3,21,5,5,19,6,9,57,53,25,60,34
Bacteria;Armatimonadetes;Armatimonadetes_gp5;,17,22,46,17,44,51,4,1,3,6,48,20,10,13,46,11,27,39,6,20,23,19,52,48,8,4,4,2,16,2,13,5,2,11,5,5,43,31,26,49,20
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales,48,22,45,16,35,39,4,1,4,5,11,28,7,20,44,8,29,41,7,25,13,19,36,50,7,6,6,1,17,3,20,2,5,7,1,3,31,26,20,53,32
Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales,57,22,46,16,49,60,4,1,4,8,53,32,11,22,57,11,31,54,7,26,25,21,53,59,7,6,7,3,17,3,21,4,5,11,5,4,58,54,28,59,35
Bacteria;Armatimonadetes;Fimbriimonadia;Fimbriimonadales,56,22,46,17,42,43,4,3,4,8,52,32,11,22,44,11,31,54,7,26,24,15,50,57,7,6,6,1,15,3,17,5,4,19,4,9,56,49,23,60,36
Bacteria;Armatimonadetes;__;__,58,22,44,17,45,58,3,2,4,7,29,32,11,22,57,12,31,53,7,24,25,21,50,56,8,6,7,3,17,2,18,4,5,16,5,7,59,53,29,60,34
Bacteria;Armatimonadetes;unclassified_Armatimonadetes;,60,22,46,17,53,60,4,3,4,8,47,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;BRC1;BRC1_genera_incertae_sedis;,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,6,3,17,3,21,5,5,16,6,9,60,54,29,60,36
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales,15,6,37,2,26,38,0,2,3,2,1,9,3,5,37,3,0,7,0,2,4,16,14,26,7,6,1,1,8,2,12,3,1,9,0,3,14,8,16,1,8
Bacteria;Bacteroidetes;Cytophagia;Cytophagales,1,4,39,3,9,1,1,0,1,1,0,5,2,6,1,1,2,7,1,2,0,3,3,26,2,1,2,0,7,0,4,1,0,0,0,2,5,0,0,8,5
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales,0,0,33,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,5,6,1,7,1,5,0,11,2,6,4,0,0,2,0,0,0,0,0,2
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales,0,1,39,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,5,2,1,1,0,0,0,0,3,0,0,0,1
Bacteria;Bacteroidetes;__;__,3,0,1,1,15,3,0,1,2,5,0,5,1,13,9,2,8,20,0,4,5,10,7,37,6,1,3,0,14,3,7,3,0,3,1,4,12,4,4,6,9
Bacteria;Bacteroidetes;unclassified_Bacteroidetes;,41,22,44,14,48,58,4,2,3,8,30,27,11,22,56,12,31,54,7,24,25,21,54,59,8,7,7,3,17,3,20,5,4,7,6,7,52,37,29,55,33
Bacteria;CandidatusSaccharibacteria;Saccharibacteria_genera_incertae_sedis;,58,22,44,16,53,55,4,2,2,8,28,32,10,18,49,7,31,54,7,26,22,21,50,60,4,5,4,3,13,3,21,5,5,3,3,4,60,53,29,60,36
Bacteria;Chlamydiae;Chlamydiia;Chlamydiales,60,22,46,17,53,45,4,1,2,8,53,32,11,22,42,11,31,52,7,26,25,21,47,60,1,1,1,3,1,1,21,1,5,2,3,0,59,49,19,60,36
Bacteria;Chlorobi;Chlorobia;Chlorobiales,54,22,46,14,49,57,4,3,4,8,53,29,11,22,54,12,31,51,6,26,25,21,53,60,8,7,7,2,17,2,21,4,5,19,6,9,55,46,28,58,34
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,56,21,44,16,48,52,0,3,4,8,9,29,6,22,53,4,30,52,6,23,15,21,32,59,7,7,7,2,17,3,20,4,5,16,6,9,56,51,29,57,36
Bacteria;Chloroflexi;Caldilineae;Caldilineales,60,22,46,17,53,54,4,3,4,8,51,32,11,22,53,12,31,54,7,25,25,21,54,60,8,7,7,3,16,3,21,4,5,15,6,9,56,53,26,60,36
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales,60,22,46,17,53,60,4,3,3,8,46,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,8,60,54,29,60,36
Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales,60,22,46,17,53,60,4,3,4,8,35,32,11,22,57,12,31,52,7,26,23,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,28,60,36
Bacteria;Chloroflexi;Chloroflexia;Kallotenuales,60,22,46,17,52,59,4,3,2,7,53,32,11,22,57,11,31,54,7,26,25,20,54,60,8,7,7,3,16,3,21,3,5,18,6,9,60,54,29,60,36
Bacteria;Chloroflexi;Chloroflexia;__,60,22,46,17,53,59,4,3,4,8,48,32,11,22,56,12,31,54,7,26,25,21,54,60,7,7,7,3,14,2,21,4,5,17,4,9,59,54,29,58,36
Bacteria;Chloroflexi;Chloroflexia;unclassified_Chloroflexia,58,22,46,17,47,42,4,2,4,7,52,32,8,22,46,8,29,52,7,21,20,18,47,57,8,7,7,1,16,3,21,4,5,13,5,9,51,38,23,57,36
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales,60,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,5,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales,56,22,45,17,53,60,4,1,4,8,53,32,11,22,57,12,31,48,7,26,25,20,54,59,8,7,6,3,17,3,21,3,5,14,5,7,58,54,29,60,24
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacteridae,60,22,45,17,53,60,4,3,2,8,47,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,14,6,9,60,54,29,60,36
Bacteria;Chloroflexi;Thermomicrobia;__,60,22,46,17,53,60,4,2,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,17,6,9,60,54,29,60,36
Bacteria;Chloroflexi;__;__,41,22,45,16,46,45,1,2,3,8,45,24,8,22,46,6,24,48,6,20,17,19,40,54,8,7,6,3,16,3,21,4,5,13,4,7,38,42,26,53,30
Bacteria;Chloroflexi;unclassified_Chloroflexi;,45,22,46,13,39,43,2,3,4,8,51,20,10,18,40,11,16,46,4,18,22,18,51,54,8,7,6,1,16,3,20,4,2,17,6,9,28,43,20,40,32
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales,60,22,46,15,53,60,4,3,4,8,53,32,11,22,57,12,29,54,7,24,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,36
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales,36,18,44,9,48,51,3,1,3,8,35,22,8,21,41,10,18,37,6,19,17,17,42,52,7,6,3,3,15,3,18,1,2,7,4,3,45,43,22,36,30
Bacteria;Deinococcus-Thermus;Deinococci;Thermales,54,19,46,17,52,58,4,3,4,8,53,32,11,20,56,12,31,51,7,26,25,21,53,52,7,7,7,3,16,3,21,4,4,19,5,9,57,53,29,56,36
Bacteria;Deinococcus-Thermus;Deinococci;__,59,22,45,17,52,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,19,5,5,19,6,9,59,54,29,60,36
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales,58,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,8,60,54,29,60,36
Bacteria;Elusimicrobia;Endomicrobia;CandidatusEndomicrobium,55,22,46,17,53,60,4,3,4,8,51,32,11,22,57,12,29,54,7,25,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Elusimicrobia;__;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,60,36
Bacteria;Elusimicrobia;unclassified_Elusimicrobia;,41,22,46,15,42,41,4,2,4,7,53,32,9,22,46,8,31,45,7,24,20,17,49,50,8,6,7,1,15,3,18,5,4,18,6,8,41,49,22,59,29
Bacteria;Fibrobacteres;Chitinivibrionia;Chitinivibrionales,59,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales,60,22,45,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Bacilli;Bacillales,7,6,39,0,17,14,0,0,0,1,3,1,7,6,15,4,0,1,0,1,17,5,25,3,0,0,2,0,3,0,4,1,0,0,2,0,6,24,4,0,3
Bacteria;Firmicutes;Bacilli;Lactobacillales,22,9,35,2,21,42,0,0,1,2,31,2,0,10,34,0,2,5,1,0,0,3,5,11,6,1,1,1,0,1,6,1,2,0,3,1,12,45,20,1,11
Bacteria;Firmicutes;Bacilli;__,59,21,21,17,46,51,2,3,4,8,52,32,9,22,53,8,30,48,7,20,23,17,43,49,6,6,6,2,15,2,20,3,4,17,4,9,54,54,27,58,35
Bacteria;Firmicutes;Bacilli;unclassified_Bacilli,60,22,45,17,53,56,4,3,4,8,53,31,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Firmicutes;Clostridia;Clostridiales,8,7,32,1,34,36,0,0,4,5,26,1,2,1,38,3,0,2,0,1,9,13,15,32,3,2,0,2,3,2,7,2,1,3,2,1,12,10,16,1,5
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales,59,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,30,54,7,26,25,21,54,60,8,7,5,3,17,3,21,5,5,19,6,9,59,54,29,60,35
Bacteria;Firmicutes;Clostridia;__,58,22,45,17,53,59,4,3,4,8,53,32,11,20,55,10,30,42,7,25,22,20,53,59,8,7,7,3,17,3,20,5,4,19,6,9,57,53,29,59,33
Bacteria;Firmicutes;Clostridia;unclassified_Clostridia,60,22,46,17,53,59,4,3,4,8,53,32,11,21,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,58,54,29,60,36
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales,59,22,45,16,51,55,2,3,4,7,53,27,10,16,50,11,22,32,4,22,15,19,46,54,8,7,7,2,16,3,19,5,3,19,6,8,44,17,27,42,16
Bacteria;Firmicutes;Negativicutes;Selenomonadales,55,21,46,9,50,59,4,3,2,7,47,18,11,19,55,12,24,39,3,11,25,21,50,51,7,5,5,2,14,3,20,1,3,15,4,7,40,50,28,31,29
Bacteria;Firmicutes;__;__,44,19,42,6,32,32,0,3,3,4,36,21,4,10,37,5,0,8,2,10,15,15,18,52,6,6,2,0,15,2,14,4,3,14,3,8,16,22,19,7,8
Bacteria;Firmicutes;unclassified_Firmicutes;,57,20,46,17,49,55,3,3,4,6,47,31,11,19,55,10,30,45,7,24,25,20,48,58,7,7,7,3,17,3,18,4,4,19,6,9,56,52,28,57,32
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales,56,7,43,13,51,57,2,3,3,8,20,26,7,16,56,9,3,28,5,12,20,20,39,53,6,6,7,3,12,3,17,5,4,15,3,6,31,15,26,16,25
Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales,58,19,43,16,53,57,4,1,1,8,17,32,11,22,53,12,31,54,7,26,25,21,54,59,7,7,3,3,14,3,21,4,4,6,4,5,58,51,27,57,36
Bacteria;Hydrogenedentes;CandidatusHydrogenedens;,59,22,46,17,52,59,3,3,3,8,52,32,11,22,52,11,30,54,7,26,25,21,54,60,8,7,7,2,17,3,21,5,5,19,6,9,57,54,27,58,36
Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales,54,22,45,16,52,57,3,3,4,8,22,31,11,22,54,9,27,53,5,26,24,21,52,60,8,7,7,3,17,3,21,4,5,17,6,9,54,53,28,57,36
Bacteria;Latescibacteria;Latescibacteria_genera_incertae_sedis;,56,22,46,17,53,59,4,3,4,8,53,31,11,22,53,10,31,54,7,25,25,21,51,58,8,7,6,3,17,3,21,5,5,19,6,9,57,54,27,60,36
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,24,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,50,29,60,36
Bacteria;Lentisphaerae;Oligosphaeria;Oligosphaerales,59,22,46,17,53,59,4,3,4,8,53,32,11,22,56,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,19,6,9,60,53,29,56,36
Bacteria;Lentisphaerae;__;__,60,22,46,17,53,60,4,3,4,8,52,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
