,Ambystoma altamirani,Ambystoma mexicanum,Ambystoma rivulare,Andrias japonicus,Aquiloeurycea cafetalera,Batrachoseps attenuatus,Batrachuperus tibetanus,Bolitoglossa franklini,Bolitoglossa lincolni,Chiropterotriton nubilus,Cryptobranchus alleganiensis,Cynops pyrrhogaster,Desmognathus monticola,Echinotriton andersoni,Ensatina eschscholtzii,Eurycea bislineata,Ichthyosaura alpestris,Lissotriton boscai,Lissotriton helveticus,Lissotriton vulgaris,Notophthalmus viridescens,Parvimolge townsendi,Plethodon cinereus,Plethodon glutinosus,Pseudoeurycea altamontana,Aquiloeurycea cephalica,Pseudoeurycea gadovii,Pseudoeurycea granitum,Pseudoeurycea leprosa,Pseudoeurycea longicauda,Pseudoeurycea lynchi,Pseudoeurycea melanomolga,Pseudoeurycea nigromaculata,Pseudoeurycea rex,Pseudoeurycea robertsi,Pseudoeurycea sp,Salamandra salamandra,Taricha granulosa,Taricha torosa,Triturus cristatus,Triturus marmoratus
Bacteria;Planctomycetes;Phycisphaerae;unclassified_Phycisphaerae;,59,22,46,17,53,60,4,3,4,8,52,32,10,21,56,12,31,54,6,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Planctomycetes;Planctomycetia;CandidatusBrocadiales;CandidatusBrocadiaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae,2,0,38,6,5,0,0,0,0,0,32,5,6,5,1,4,5,4,2,1,9,5,15,6,2,1,0,0,1,0,2,1,0,0,0,0,9,6,1,15,2
Bacteria;Planctomycetes;Planctomycetia;__;__,58,22,46,17,52,56,4,3,4,8,13,32,11,22,56,12,31,53,7,26,25,21,54,59,8,6,7,3,17,3,20,5,4,19,6,9,56,53,27,59,35
Bacteria;Planctomycetes;Planctomycetia;unclassified_Planctomycetia;,45,17,46,17,48,41,4,3,3,8,25,27,11,22,42,12,30,52,7,25,25,18,54,56,8,7,7,1,17,3,21,5,5,13,6,8,39,47,23,58,36
Bacteria;Planctomycetes;__;__;__,38,16,45,15,34,28,1,3,4,7,45,32,11,22,40,12,29,41,5,24,23,18,47,43,8,6,6,1,16,2,14,5,3,17,5,8,36,47,21,55,26
Bacteria;Planctomycetes;unclassified_Planctomycetes;;__,55,22,46,17,51,42,3,3,4,8,53,32,11,22,50,12,31,48,7,24,25,21,54,54,8,7,6,1,16,3,20,5,5,19,4,9,47,54,23,56,33
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_incertae_sedis;Geminicoccus,60,22,46,17,53,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_incertae_sedis;Rhizomicrobium,30,21,46,15,15,12,4,1,3,0,52,23,4,13,19,7,26,40,5,22,13,12,17,34,7,7,6,2,16,2,6,4,0,8,4,3,29,38,5,53,27
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae,4,18,40,7,3,3,0,0,0,0,8,12,1,7,0,1,2,12,0,1,7,3,7,21,2,1,2,0,9,1,2,1,0,0,0,0,8,13,1,4,4
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae,60,18,46,17,53,60,4,3,4,8,53,32,11,22,54,12,31,54,7,26,25,21,54,60,7,6,7,3,17,3,21,5,5,18,6,7,58,52,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;__,56,22,46,17,53,59,4,3,4,8,53,31,11,22,56,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,4,5,19,6,9,58,49,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;unclassified_Caulobacterales,41,22,37,17,35,33,4,3,4,5,53,31,10,21,40,7,30,51,5,22,21,19,47,55,8,7,7,3,17,3,17,5,2,19,4,9,51,47,19,48,35
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;Kordiimonadaceae,58,22,46,17,53,57,4,3,4,8,53,32,9,21,57,11,31,54,7,26,23,21,50,60,8,7,7,3,17,3,21,5,5,19,6,9,58,53,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae,55,20,46,17,32,37,4,3,4,8,44,31,11,13,30,12,28,54,7,25,25,17,53,56,8,7,7,1,17,3,18,4,2,17,6,9,48,48,20,53,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,7,6,7,3,17,3,21,4,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae,56,22,46,17,51,58,4,2,2,8,44,32,9,20,56,12,26,54,7,22,22,21,50,60,8,7,7,3,17,3,20,5,5,6,6,3,60,54,28,60,35
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae,6,16,46,9,4,1,0,0,1,0,10,13,2,5,2,4,4,20,1,0,5,6,11,15,7,7,6,0,16,2,4,4,0,1,4,0,9,26,0,9,4
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae,53,22,43,7,46,52,4,3,4,7,53,24,11,7,45,12,7,39,7,21,25,19,52,59,8,7,7,3,17,3,18,5,4,19,6,9,41,52,25,43,32
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae,27,20,29,16,20,24,3,0,2,5,34,29,11,11,23,9,23,43,6,20,17,12,39,43,8,7,5,1,16,3,12,4,1,5,3,2,34,39,8,34,30
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae,20,18,46,9,14,12,4,0,0,4,36,16,6,17,9,7,10,22,0,6,7,8,24,39,8,7,7,1,17,3,2,4,0,0,5,0,22,39,9,19,18
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae,38,22,46,17,26,49,4,3,4,2,53,32,11,22,47,12,31,40,7,24,25,10,36,49,8,7,7,2,17,3,9,5,2,18,5,8,40,46,21,59,30
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae,33,20,46,14,21,17,4,1,2,5,23,19,10,9,14,8,26,34,0,4,20,13,42,42,8,7,6,1,16,3,17,4,1,8,5,4,28,30,9,26,14
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae,13,19,46,9,9,9,4,1,0,5,53,11,11,1,1,12,4,14,0,0,24,7,38,40,7,7,6,0,16,3,6,5,0,3,1,4,11,9,2,2,7
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_incertae_sedis,9,17,46,12,6,5,4,2,2,0,53,15,2,5,8,2,23,23,5,13,3,3,4,20,7,7,6,0,16,2,0,4,0,19,4,9,20,16,6,36,7
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae,60,22,46,17,53,53,4,3,4,8,50,32,11,22,56,12,31,54,6,24,25,20,54,60,7,6,6,3,16,3,21,5,4,18,6,9,59,53,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Roseiarcaceae,39,22,46,16,26,39,4,2,4,0,53,29,10,15,36,11,28,38,6,22,18,9,30,36,7,7,6,2,17,2,7,5,1,9,4,0,43,40,13,56,17
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae,5,12,46,12,4,4,0,3,4,1,51,7,0,7,1,0,4,9,4,11,0,4,0,17,7,4,5,0,16,2,1,3,0,16,4,9,6,3,2,5,6
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;__,11,7,2,8,4,3,0,0,0,0,1,11,0,6,5,0,15,19,4,13,0,2,1,11,1,0,3,0,5,1,3,1,0,0,0,0,9,6,2,33,13
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified_Rhizobiales,59,22,46,17,51,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,20,54,59,8,7,7,2,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae,16,2,30,5,19,6,0,1,2,2,3,10,0,7,8,1,6,31,3,4,1,10,3,32,4,0,1,0,4,2,10,1,2,3,1,4,11,1,5,17,28
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae,4,15,19,9,5,2,3,0,1,0,14,14,0,11,2,4,21,2,1,13,4,3,11,15,3,3,3,0,11,1,4,2,0,1,0,0,14,2,1,37,4
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Reyranella,30,16,46,16,21,14,4,2,2,4,53,28,8,13,18,6,27,33,7,22,17,14,33,42,8,7,6,0,16,2,11,4,2,3,4,5,34,36,9,49,28
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae,42,17,46,9,31,33,2,2,4,2,42,29,5,15,37,4,16,36,6,23,13,12,31,42,8,6,7,2,15,2,12,5,1,2,5,3,28,24,22,33,23
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;__,26,9,44,14,18,20,2,0,3,6,50,29,3,12,27,6,16,33,5,23,7,13,16,38,7,6,6,1,16,2,10,4,2,4,4,1,26,36,11,46,20
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified_Rhodospirillales,29,21,46,16,21,16,4,3,4,2,53,25,7,15,25,6,28,25,5,16,16,13,21,27,7,7,6,0,16,2,10,4,0,15,4,8,24,26,9,49,10
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae,60,22,46,17,53,60,4,2,2,8,34,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,14,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;__,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;unclassified_Rickettsiales,60,22,46,17,53,60,4,3,4,8,47,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;SAR11;CandidatusPelagibacter,60,22,45,17,53,60,4,3,4,8,51,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae,55,22,46,16,45,54,4,3,4,8,53,31,11,21,51,12,31,53,7,26,25,19,50,57,7,7,7,2,17,2,19,5,4,17,6,8,57,53,28,57,36
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae,25,16,46,16,19,19,4,3,4,4,53,25,11,10,9,12,16,38,4,13,25,11,37,31,8,7,7,0,16,2,13,4,1,16,4,9,39,20,7,19,31
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,31,18,46,16,40,38,4,0,0,7,0,30,11,16,29,12,30,52,7,20,25,19,52,56,8,7,7,3,17,3,20,5,4,0,6,0,41,44,16,55,34
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;__,59,22,46,17,53,59,4,2,1,7,3,32,11,22,57,12,31,43,7,26,25,21,48,54,8,7,7,3,17,3,21,5,5,6,4,5,51,53,28,59,31
Bacteria;Proteobacteria;Alphaproteobacteria;__;__,1,0,30,2,2,0,0,0,1,0,0,3,0,4,0,1,3,4,0,1,0,1,1,9,0,0,0,0,3,0,0,0,0,1,0,3,3,7,0,3,3
Bacteria;Proteobacteria;Alphaproteobacteria;unclassified_Alphaproteobacteria;,49,18,45,16,18,20,4,3,4,3,48,29,11,10,22,12,30,41,7,22,25,15,43,41,8,7,6,0,16,2,5,4,2,15,5,7,32,35,14,52,26
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae,60,22,10,17,53,60,4,3,1,8,25,32,11,22,57,12,31,54,7,26,25,21,54,58,8,5,6,3,13,3,21,5,5,16,3,8,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae,26,13,46,17,39,33,4,0,1,6,18,20,10,21,32,11,19,51,5,17,24,11,41,22,6,7,5,2,15,3,13,4,4,3,5,0,47,36,18,31,33
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis,58,20,46,17,52,54,4,0,1,8,0,32,11,22,48,12,31,54,7,24,25,21,54,43,5,4,5,3,16,3,21,5,5,3,4,0,60,47,25,59,36
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae,48,21,0,17,52,46,3,0,0,8,7,23,8,19,51,10,30,54,7,25,20,21,44,54,2,1,1,3,9,1,21,2,4,0,2,0,51,42,26,56,36
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,60,22,34,17,53,60,4,0,0,8,10,32,11,22,57,12,31,54,7,26,25,21,54,60,3,1,4,3,10,2,21,1,5,1,2,0,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;__,16,0,19,9,39,34,1,0,2,6,0,22,7,12,33,6,23,14,3,11,16,15,40,15,3,1,3,1,11,2,15,3,5,2,3,0,35,8,13,23,5
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified_Burkholderiales,60,21,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,59,8,6,7,3,17,3,21,5,5,12,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Ferritrophicales;Ferritrophicaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Gallionellales;Gallionellaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,15,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae,50,22,46,15,53,59,2,3,4,8,52,31,10,22,55,11,29,54,7,23,25,21,46,47,8,7,7,3,17,3,21,5,5,19,6,6,58,54,27,55,36
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae,60,22,46,17,53,60,4,1,3,8,40,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,13,6,6,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae,57,22,42,17,50,60,4,2,4,7,1,30,11,22,57,12,31,53,7,26,25,20,54,60,6,4,7,3,13,2,21,5,5,12,2,5,60,53,29,59,34
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae,60,22,46,17,53,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae,1,3,45,3,1,4,0,3,4,0,7,5,1,11,3,0,6,5,0,0,1,0,0,4,7,6,6,0,16,2,0,4,0,10,4,5,8,0,3,4,5
Bacteria;Proteobacteria;Betaproteobacteria;Sulfuricellales;Sulfuricellaceae,32,22,46,16,43,40,4,3,4,8,53,32,11,14,51,12,31,54,7,19,25,19,54,55,8,6,6,0,16,3,21,5,4,18,6,9,43,45,22,58,36
Bacteria;Proteobacteria;Betaproteobacteria;__;__,0,2,4,8,1,3,1,0,0,0,0,0,0,1,3,0,3,7,0,0,0,1,0,14,4,3,3,0,12,2,0,2,0,4,1,1,5,1,3,2,12
Bacteria;Proteobacteria;Betaproteobacteria;unclassified_Betaproteobacteria;,37,21,46,17,42,27,4,0,2,8,30,31,10,20,37,10,30,52,6,21,19,17,45,44,8,7,6,1,16,3,18,5,5,7,5,6,38,43,16,57,34
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae,33,10,44,11,40,18,4,3,4,6,51,21,6,22,20,8,25,48,2,10,18,17,34,53,7,7,6,1,17,3,21,5,4,11,5,9,39,6,11,39,32
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae,48,17,45,17,32,26,4,3,3,5,30,30,10,22,32,9,29,44,7,24,17,15,30,53,7,6,5,1,16,2,15,5,3,5,4,5,49,44,12,57,31
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Pseudobacteriovoracaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;__,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,16,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;unclassified_Bdellovibrionales,60,22,46,17,53,60,4,2,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,15,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae,60,19,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_incertae_sedis;Deferrisoma,60,22,46,17,53,59,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,53,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae,57,22,46,17,49,56,4,3,4,8,53,31,10,21,54,11,30,54,7,24,23,20,50,58,8,7,7,3,17,3,21,5,5,19,6,9,54,53,26,59,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae,47,16,46,16,48,54,4,3,4,7,41,31,9,17,51,9,27,51,6,21,22,21,47,58,7,7,6,3,17,3,20,5,5,19,6,9,49,51,25,53,32
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae,60,22,46,17,53,60,4,3,4,8,43,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;__,60,22,46,17,53,60,4,3,4,8,50,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,59,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae,60,22,46,17,53,60,4,3,4,8,49,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae,54,18,45,14,52,55,4,3,4,8,52,28,11,21,54,12,14,19,4,21,20,20,47,56,8,7,6,3,17,3,20,4,3,19,6,9,39,50,27,36,21
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;__,60,14,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,24,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,52,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae,59,22,46,17,53,60,4,3,4,7,53,32,11,22,57,12,31,54,7,26,25,21,51,60,8,6,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae,33,22,46,17,53,58,4,3,4,8,53,28,8,21,51,7,30,54,7,24,22,21,46,58,8,7,7,3,17,3,21,5,5,18,6,9,56,34,28,49,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;__,31,22,45,16,52,56,4,3,4,8,52,26,7,21,55,7,28,50,5,20,21,21,36,55,8,7,7,3,16,3,20,5,4,19,6,9,53,31,28,42,36
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;unclassified_Desulfuromonadales,55,22,46,17,53,60,4,3,4,8,52,31,11,22,57,12,31,54,7,26,25,21,52,59,8,7,7,3,17,3,21,5,5,19,6,9,60,50,29,59,36
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacterineae,25,20,43,13,26,15,2,1,4,4,30,21,6,20,17,2,27,37,4,20,8,10,18,39,8,5,4,0,14,2,13,4,0,8,4,4,26,13,11,39,19
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystineae,18,10,44,13,14,2,4,2,3,2,50,21,2,20,5,2,24,36,5,17,8,11,12,31,8,7,6,0,14,2,4,3,0,5,3,6,19,9,4,45,19
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae,47,21,46,16,43,29,4,3,4,7,53,30,10,22,32,11,30,53,7,20,22,21,49,56,8,7,6,1,17,3,20,5,1,17,5,9,49,36,19,52,36
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangiineae,27,21,44,11,13,3,4,1,2,0,5,18,2,20,14,2,25,27,3,19,9,9,14,32,5,3,4,0,14,2,5,2,1,4,2,3,27,23,1,44,12
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;__,41,22,44,16,32,19,0,2,3,7,43,28,4,21,24,3,29,47,7,20,10,12,27,48,7,5,3,1,15,3,14,4,1,9,4,8,37,43,10,53,35
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;unclassified_Myxococcales,44,21,46,17,31,26,4,3,4,7,15,30,8,21,28,7,30,51,7,26,19,16,40,54,8,7,7,2,16,3,17,5,2,16,5,8,39,44,9,57,35
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae,49,22,46,14,53,57,4,3,4,8,51,30,10,20,53,10,29,53,3,25,22,21,38,57,8,7,7,3,17,3,21,5,5,19,6,9,57,44,28,49,35
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae,56,22,45,17,53,60,4,3,4,8,50,32,11,22,56,12,30,54,7,23,25,21,54,59,8,7,7,3,17,3,21,5,5,18,6,9,56,54,29,53,36
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophorhabdaceae;Syntrophorhabdus,59,22,46,17,50,59,4,3,4,8,53,31,11,22,57,12,31,54,7,26,25,21,52,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,60,34
Bacteria;Proteobacteria;Deltaproteobacteria;__;__,18,13,41,9,16,6,1,1,2,1,15,18,1,15,9,0,19,27,2,11,4,8,8,32,5,2,5,0,14,2,10,3,2,3,0,4,19,14,9,30,19
Bacteria;Proteobacteria;Deltaproteobacteria;unclassified_Deltaproteobacteria;,25,12,46,14,30,22,3,3,4,6,18,26,5,18,28,6,23,42,4,12,10,13,25,34,6,3,5,1,11,1,15,2,3,13,3,8,29,38,13,45,23
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae,41,21,46,15,53,60,4,3,4,8,53,30,9,22,55,10,30,53,6,25,21,20,44,59,8,7,7,3,16,3,19,5,5,19,5,9,55,31,28,44,36
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,60,22,45,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;__,60,22,44,17,53,60,4,3,4,8,26,32,11,22,57,12,31,53,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Epsilonproteobacteria;__;__,55,22,45,16,53,60,4,3,4,8,51,32,10,22,57,12,31,54,7,26,25,21,49,60,8,7,7,3,17,3,21,5,5,19,6,9,59,54,29,58,36
Bacteria;Proteobacteria;Epsilonproteobacteria;unclassified_Epsilonproteobacteria;,60,22,45,17,53,60,4,3,3,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae,60,22,46,17,53,60,4,3,4,8,2,31,11,22,57,12,31,50,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,13,6,7,60,54,29,60,34
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae,60,22,46,17,53,60,4,3,4,8,50,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae,60,22,46,17,53,60,3,3,4,8,36,32,11,22,57,12,31,54,7,26,25,21,54,54,8,6,7,3,17,3,21,5,5,16,6,7,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Ferrimonadaceae,60,22,46,17,53,60,4,3,4,8,53,32,4,22,57,5,31,54,7,26,10,21,39,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Moritellaceae,60,22,46,17,53,60,4,3,4,8,6,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,9,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae,53,21,46,12,48,60,4,3,4,6,53,13,0,16,57,0,27,51,2,10,0,19,19,58,8,7,7,3,17,3,19,5,3,19,6,9,53,54,29,35,35
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae,59,22,46,17,53,59,4,3,4,8,53,32,10,22,57,11,28,36,7,25,24,21,54,59,8,7,7,3,17,3,21,5,5,19,6,9,49,54,29,59,27
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae,60,22,46,17,53,60,4,3,4,8,53,32,11,22,57,12,31,54,7,26,25,21,54,60,8,7,7,3,17,3,21,5,5,19,6,8,60,54,29,60,36
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;__,60,22,39,17,53,60,4,3,4,8,36,32,11,22,57,12,31,54,7,26,25,21,53,60,8,6,7,3,17,3,21,5,5,18,6,9,60,54,29,60,36
